Track 0: Track 0
Track 1: Für Elise
Note 76 (E)| velocity 71 | tempo: 960 | time: 0.86 seconds | frame: 20 => Midi message: (note_on channel=0 note=76 velocity=71 time=960)
Note 75 (D#)| velocity 38 | tempo: 0 | time: 1.07 seconds | frame: 25 => Midi message: (note_on channel=0 note=75 velocity=38 time=0)
Note 76 (E)| velocity 57 | tempo: 0 | time: 1.29 seconds | frame: 30 => Midi message: (note_on channel=0 note=76 velocity=57 time=0)
Note 75 (D#)| velocity 70 | tempo: 0 | time: 1.50 seconds | frame: 36 => Midi message: (note_on channel=0 note=75 velocity=70 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 1.71 seconds | frame: 41 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 1.93 seconds | frame: 46 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 74 (D)| velocity 76 | tempo: 0 | time: 2.14 seconds | frame: 51 => Midi message: (note_on channel=0 note=74 velocity=76 time=0)
Note 72 (C)| velocity 83 | tempo: 0 | time: 2.36 seconds | frame: 56 => Midi message: (note_on channel=0 note=72 velocity=83 time=0)
Note 69 (A)| velocity 89 | tempo: 0 | time: 2.57 seconds | frame: 61 => Midi message: (note_on channel=0 note=69 velocity=89 time=0)
Note 45 (A)| velocity 64 | tempo: 0 | time: 2.57 seconds | frame: 61 => Midi message: (note_on channel=0 note=45 velocity=64 time=0)
Note 52 (E)| velocity 64 | tempo: 0 | time: 2.79 seconds | frame: 66 => Midi message: (note_on channel=0 note=52 velocity=64 time=0)
Note 57 (A)| velocity 70 | tempo: 0 | time: 3.00 seconds | frame: 72 => Midi message: (note_on channel=0 note=57 velocity=70 time=0)
Note 60 (C)| velocity 76 | tempo: 0 | time: 3.21 seconds | frame: 77 => Midi message: (note_on channel=0 note=60 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 3.43 seconds | frame: 82 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 3.64 seconds | frame: 87 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
