Track 0: 
Track 1: Piano RH
Note 76 (E)| velocity 120 | tempo: 4 | time: 157.66 seconds | frame: 3783 => Midi message: (note_on channel=0 note=76 velocity=120 time=4)
Note 75 (D#)| velocity 120 | tempo: 6 | time: 157.95 seconds | frame: 3790 => Midi message: (note_on channel=0 note=75 velocity=120 time=6)
Note 76 (E)| velocity 120 | tempo: 0 | time: 158.23 seconds | frame: 3797 => Midi message: (note_on channel=0 note=76 velocity=120 time=0)
Note 75 (D#)| velocity 120 | tempo: 6 | time: 158.51 seconds | frame: 3804 => Midi message: (note_on channel=0 note=75 velocity=120 time=6)
Note 76 (E)| velocity 120 | tempo: 2 | time: 158.80 seconds | frame: 3811 => Midi message: (note_on channel=0 note=76 velocity=120 time=2)
Note 71 (B)| velocity 120 | tempo: 0 | time: 159.07 seconds | frame: 3817 => Midi message: (note_on channel=0 note=71 velocity=120 time=0)
Note 74 (D)| velocity 120 | tempo: 6 | time: 159.36 seconds | frame: 3824 => Midi message: (note_on channel=0 note=74 velocity=120 time=6)
Note 72 (C)| velocity 120 | tempo: 2 | time: 159.65 seconds | frame: 3831 => Midi message: (note_on channel=0 note=72 velocity=120 time=2)
Note 69 (A)| velocity 120 | tempo: 2 | time: 159.93 seconds | frame: 3838 => Midi message: (note_on channel=0 note=69 velocity=120 time=2)
Note 60 (C)| velocity 120 | tempo: 82 | time: 160.78 seconds | frame: 3858 => Midi message: (note_on channel=0 note=60 velocity=120 time=82)
Note 64 (E)| velocity 120 | tempo: 2 | time: 161.06 seconds | frame: 3865 => Midi message: (note_on channel=0 note=64 velocity=120 time=2)
Note 69 (A)| velocity 120 | tempo: 0 | time: 161.34 seconds | frame: 3872 => Midi message: (note_on channel=0 note=69 velocity=120 time=0)
Note 71 (B)| velocity 120 | tempo: 4 | time: 161.62 seconds | frame: 3878 => Midi message: (note_on channel=0 note=71 velocity=120 time=4)
Note 64 (E)| velocity 120 | tempo: 100 | time: 162.47 seconds | frame: 3899 => Midi message: (note_on channel=0 note=64 velocity=120 time=100)
Note 68 (G#)| velocity 120 | tempo: 4 | time: 162.75 seconds | frame: 3906 => Midi message: (note_on channel=0 note=68 velocity=120 time=4)
Note 71 (B)| velocity 120 | tempo: 6 | time: 163.04 seconds | frame: 3913 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
Note 72 (C)| velocity 120 | tempo: 0 | time: 163.32 seconds | frame: 3919 => Midi message: (note_on channel=0 note=72 velocity=120 time=0)
Note 64 (E)| velocity 120 | tempo: 100 | time: 164.17 seconds | frame: 3940 => Midi message: (note_on channel=0 note=64 velocity=120 time=100)
Note 76 (E)| velocity 120 | tempo: 4 | time: 164.45 seconds | frame: 3946 => Midi message: (note_on channel=0 note=76 velocity=120 time=4)
Note 75 (D#)| velocity 120 | tempo: 6 | time: 164.74 seconds | frame: 3953 => Midi message: (note_on channel=0 note=75 velocity=120 time=6)
Note 76 (E)| velocity 120 | tempo: 2 | time: 165.02 seconds | frame: 3960 => Midi message: (note_on channel=0 note=76 velocity=120 time=2)
Note 75 (D#)| velocity 120 | tempo: 2 | time: 165.31 seconds | frame: 3967 => Midi message: (note_on channel=0 note=75 velocity=120 time=2)
Note 76 (E)| velocity 120 | tempo: 2 | time: 165.59 seconds | frame: 3974 => Midi message: (note_on channel=0 note=76 velocity=120 time=2)
Note 71 (B)| velocity 120 | tempo: 0 | time: 165.87 seconds | frame: 3980 => Midi message: (note_on channel=0 note=71 velocity=120 time=0)
